INFO  - 2014-02-07 16:41:59.257; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-02-07 16:42:02.390; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-07 16:42:02.390; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-07 16:42:02.474; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-07 16:42:02.474; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-07 16:42:02.474; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-07 16:42:02.495; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.495; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.497; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.497; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.502; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.502; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-07 16:42:02.503; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.505; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-07 16:42:02.504; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.506; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.507; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-07 16:42:02.508; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-07 16:42:02.510; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-02-07 16:42:02.514; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-02-07 16:42:02.514; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2014-02-07 16:42:02.515; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-02-07 16:42:02.516; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2014-02-07 16:42:02.518; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
WARN  - 2014-02-07 16:42:02.518; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-02-07 16:42:02.519; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2014-02-07 16:42:02.519; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
